id,price_doc
30474,4964265.5
30475,8818168.0
30476,5831940.0
30477,6145181.0
30478,5180673.0
30479,10099442.0
30480,4560255.0
30481,4473665.0
30482,4934585.0
30483,4653945.5
30484,7036579.5
30485,5510717.0
30486,3751363.5
30487,4492642.0
30488,7031551.5
30489,6220550.5
30490,22365148.0
30491,18710110.0
30492,6342946.0
30493,14945322.0
30494,7457725.0
30495,11515732.0
30496,9266648.0
30497,8718060.0
30498,4804388.5
30499,6732448.0
30500,12212124.0
30501,7243661.5
30502,3080851.5
30503,6420746.0
30504,6761202.0
30505,10859266.0
30506,3111886.25
30507,4690702.0
30508,5879091.5
30509,6440570.0
30510,9844046.0
30511,6662734.0
30512,5528916.5
30513,4610122.5
30514,5003110.0
30515,10086896.0
30516,5906119.0
30517,11982318.0
30518,10329832.0
30519,4839896.0
30520,7484382.0
30521,5430609.5
30522,7632823.5
30523,6606385.0
30524,10239666.0
30525,11436320.0
30526,4763589.0
30527,5199788.5
30528,6403442.5
30529,7455213.5
30530,6232803.0
30531,14189274.0
30532,4521721.5
30533,10709656.0
30534,7933911.5
30535,9952850.0
30536,5502836.0
30537,12773116.0
30538,5238063.5
30539,9353558.0
30540,10045666.0
30541,5143011.5
30542,2289148.0
30543,6225636.5
30544,6981708.0
30545,8155597.0
30546,4377520.5
30547,10711626.0
30548,4369616.0
30549,5436622.5
30550,11093682.0
30551,4943306.5
30552,2091487.375
30553,7244858.5
30554,9531092.0
30555,6572122.0
30556,9399282.0
30557,7642390.5
30558,8122745.5
30559,5787241.5
30560,6377467.0
30561,7219638.5
30562,13480904.0
30563,4531286.5
30564,7402659.0
30565,6815548.0
30566,7245911.0
30567,2285211.75
30568,11271556.0
30569,10882650.0
30570,6996731.5
30571,8338852.0
30572,4829422.5
30573,6874105.0
30574,6545919.5
30575,8223998.5
30576,5243263.5
30577,3131799.25
30578,3219776.25
30579,7549138.0
30580,4097897.75
30581,5776988.5
30582,11794820.0
30583,7428525.5
30584,4782141.0
30585,2822892.5
30586,9470798.0
30587,6209747.5
30588,7014248.5
30589,8446920.0
30590,13525718.0
30591,5151037.0
30592,6694753.5
30593,9310734.0
30594,7642679.5
30595,5374279.0
30596,7205423.0
30597,6949207.0
30598,10236730.0
30599,9712896.0
30600,4994723.0
30601,6930298.5
30602,2094364.25
30603,13031144.0
30604,4600369.0
30605,7291009.5
30606,23999472.0
30607,6486204.0
30608,7689575.0
30609,6206257.5
30610,2924375.0
30611,5902830.5
30612,8459568.0
30613,9351698.0
30614,17867120.0
30615,7524554.5
30616,5967912.5
30617,10310162.0
30618,5103767.5
30619,4574761.5
30620,2688975.0
30621,9360218.0
30622,8607456.0
30623,6448046.0
30624,6727690.5
30625,8196561.5
30626,6210210.0
30627,5833226.5
30628,6810249.5
30629,5281033.5
30630,4727637.0
30631,6641916.5
30632,4192757.75
30633,5607682.0
30634,12506084.0
30635,10062332.0
30636,5323880.0
30637,9656034.0
30638,6279614.0
30639,7749084.0
30640,4854274.5
30641,8164493.5
30642,6264745.5
30643,8755672.0
30644,10112046.0
30645,6837252.5
30646,5210576.0
30647,5188059.0
30648,26232980.0
30649,2772552.5
30650,4917842.0
30651,3386975.0
30652,4314783.5
30653,7740118.5
30654,4885887.0
30655,13373064.0
30656,3706382.75
30657,7166754.0
30658,10811414.0
30659,4603351.5
30660,8963448.0
30661,6748057.5
30662,9063194.0
30663,11648862.0
30664,14370384.0
30665,5790319.5
30666,2860970.75
30667,4481821.5
30668,10329756.0
30669,5126927.5
30670,2441807.5
30671,6536656.0
30672,15057680.0
30673,10859196.0
30674,10866566.0
30675,2289148.0
30676,7466617.5
30677,4636141.0
30678,19666178.0
30679,5764963.0
30680,5609852.0
30681,2532997.25
30682,8164098.0
30683,10014338.0
30684,5751661.5
30685,7363761.5
30686,9495348.0
30687,5048269.0
30688,4483955.5
30689,17189776.0
30690,28936446.0
30691,4673986.5
30692,5970305.0
30693,11920444.0
30694,5661183.5
30695,7628086.0
30696,6248270.5
30697,12883384.0
30698,6485704.5
30699,6195628.0
30700,4792876.0
30701,10040538.0
30702,6302052.0
30703,4054969.5
30704,12199172.0
30705,9070700.0
30706,27230486.0
30707,4036052.25
30708,15998268.0
30709,6438065.0
30710,6878280.5
30711,4875236.0
30712,4013689.5
30713,6436633.5
30714,7565728.5
30715,4034570.75
30716,10092888.0
30717,6434988.0
30718,12035308.0
30719,14099328.0
30720,7512573.5
30721,4480981.0
30722,6569649.5
30723,6324765.5
30724,12255768.0
30725,7310036.0
30726,12444686.0
30727,10042376.0
30728,12412680.0
30729,3765000.5
30730,5837202.5
30731,6657926.5
30732,5180711.5
30733,7918590.0
30734,7509481.5
30735,5606298.5
30736,5391138.0
30737,6993389.0
30738,6723996.5
30739,5362835.5
30740,7330587.0
30741,12010188.0
30742,4351342.5
30743,4705714.0
30744,10907428.0
30745,7557315.5
30746,5685627.0
30747,14514468.0
30748,17050888.0
30749,5711438.0
30750,6638873.5
30751,3588845.75
30752,7226514.5
30753,11011864.0
30754,5824386.0
30755,4850097.0
30756,7698056.0
30757,5937350.0
30758,9947848.0
30759,5966146.5
30760,4892773.0
30761,10815830.0
30762,6879546.0
30763,12643104.0
30764,5781128.0
30765,4846066.5
30766,3619727.75
30767,10525498.0
30768,4651463.5
30769,7345233.5
30770,5842927.0
30771,2927324.25
30772,7901591.0
30773,7900683.5
30774,5903397.0
30775,13316262.0
30776,6013882.5
30777,6242866.5
30778,9948908.0
30779,6498520.0
30780,8203497.5
30781,7508579.5
30782,5035020.5
30783,5582673.0
30784,3837336.0
30785,5397543.5
30786,4502421.0
30787,6126107.5
30788,5431231.5
30789,6755808.0
30790,6387912.5
30791,10450994.0
30792,7703933.5
30793,11527316.0
30794,13688458.0
30795,10408846.0
30796,10101260.0
30797,15179860.0
30798,3458624.5
30799,12009938.0
30800,18146606.0
30801,6727612.5
30802,23994578.0
30803,2843553.25
30804,3415641.0
30805,16956056.0
30806,7177231.0
30807,6562472.0
30808,10944612.0
30809,4929687.5
30810,12189040.0
30811,4389855.5
30812,5201239.0
30813,5534290.5
30814,2933227.5
30815,4347872.0
30816,6569289.5
30817,2083464.125
30818,7958254.0
30819,7810849.0
30820,4892511.5
30821,23132846.0
30822,9421618.0
30823,7335334.5
30824,3794576.25
30825,5460897.5
30826,13116028.0
30827,5865758.5
30828,6003432.5
30829,5782463.0
30830,9752368.0
30831,6773700.0
30832,4615670.0
30833,5701221.0
30834,3855875.75
30835,7986839.5
30836,6504267.0
30837,5884222.5
30838,3605981.5
30839,5896421.0
30840,11274922.0
30841,14342582.0
30842,7650093.5
30843,6028937.5
30844,7289652.5
30845,8695980.0
30846,4700782.5
30847,5995752.5
30848,9554160.0
30849,4994535.5
30850,4237924.5
30851,5185657.5
30852,6994752.5
30853,4303750.5
30854,6219999.5
30855,7227507.0
30856,8916864.0
30857,2449532.75
30858,4785122.5
30859,6288231.0
30860,6560014.5
30861,9472388.0
30862,6295479.5
30863,5633263.0
30864,5881558.5
30865,10125346.0
30866,7632391.5
30867,6280105.0
30868,8203351.5
30869,5812226.0
30870,2800070.0
30871,8561786.0
30872,5154468.0
30873,3491246.25
30874,4493681.0
30875,5967480.0
30876,4808020.5
30877,10697954.0
30878,5581480.5
30879,11995730.0
30880,6534169.5
30881,2133787.5
30882,11230252.0
30883,3683338.5
30884,5615479.0
30885,5276082.0
30886,7283746.5
30887,6198902.0
30888,4714368.0
30889,5391918.0
30890,7311387.0
30891,3840776.75
30892,3858161.25
30893,4774929.5
30894,4820984.0
30895,4298314.5
30896,6999966.0
30897,8277204.5
30898,7106210.5
30899,6627846.0
30900,3486442.5
30901,6978257.5
30902,2293371.0
30903,7430848.5
30904,8533136.0
30905,5605661.0
30906,7103011.0
30907,13323506.0
30908,4418421.0
30909,14889312.0
30910,6776699.5
30911,4883951.5
30912,6733534.0
30913,23291702.0
30914,5899570.0
30915,9757990.0
30916,6106575.5
30917,8483416.0
30918,6458706.5
30919,4747098.5
30920,4847297.5
30921,3825212.75
30922,5526368.5
30923,3386810.75
30924,5800014.5
30925,15185192.0
30926,7361437.0
30927,8607956.0
30928,4854270.5
30929,5610415.0
30930,11277046.0
30931,13121110.0
30932,5160971.5
30933,4538294.5
30934,14359752.0
30935,7096392.5
30936,7329371.0
30937,10052978.0
30938,3805894.0
30939,9662062.0
30940,7473394.0
30941,6042457.0
30942,3688478.25
30943,6655889.5
30944,5172522.0
30945,3071782.75
30946,16083406.0
30947,7742001.0
30948,8482592.0
30949,6223300.0
30950,6330852.5
30951,16084798.0
30952,8031185.0
30953,10127996.0
30954,4885570.5
30955,6499109.0
30956,7336229.5
30957,5804879.0
30958,30040360.0
30959,8612528.0
30960,7891185.0
30961,9347448.0
30962,11264856.0
30963,3907817.25
30964,4385609.0
30965,7032765.0
30966,11626864.0
30967,11135386.0
30968,3563198.5
30969,3595474.75
30970,6350074.0
30971,11785642.0
30972,3312557.0
30973,5527350.5
30974,5285566.5
30975,7441437.5
30976,5485692.0
30977,7571153.0
30978,8877164.0
30979,3460139.0
30980,8306862.5
30981,5985223.5
30982,7053111.5
30983,3495823.5
30984,5616534.5
30985,3816737.0
30986,10356484.0
30987,9923598.0
30988,7082812.0
30989,8524406.0
