id,label
0,4
1,2
2,4
3,6
4,3
5,3
6,4
7,4
8,2
9,6
10,4
11,0
12,2
13,2
14,4
15,2
16,5
17,5
18,5
19,3
20,2
21,2
22,4
23,2
24,0
25,6
26,4
27,6
28,5
29,5
30,3
31,6
32,3
33,6
34,0
35,4
36,4
37,2
38,4
39,4
40,0
41,4
42,6
43,4
44,3
45,0
46,4
47,3
48,5
49,4
50,0
51,3
52,5
53,2
54,2
55,4
56,2
57,4
58,5
59,3
60,6
61,2
62,4
63,2
64,2
65,3
66,2
67,4
68,0
69,4
70,4
71,5
72,6
73,1
74,2
75,6
76,5
77,6
78,4
79,4
80,2
81,0
82,0
83,3
84,5
85,4
86,3
87,3
88,6
89,3
90,4
91,2
92,6
93,4
94,0
95,4
96,5
97,3
98,3
99,1
100,3
101,4
102,6
103,3
104,5
105,2
106,6
107,6
108,6
109,4
110,3
111,6
112,4
113,6
114,3
115,2
116,3
117,6
118,2
119,6
120,5
121,3
122,0
123,2
124,4
125,3
126,3
127,4
128,5
129,5
130,2
131,4
132,2
133,4
134,5
135,5
136,4
137,3
138,6
139,6
140,2
141,3
142,0
143,3
144,4
145,6
146,3
147,3
148,3
149,2
150,0
151,2
152,5
153,3
154,5
155,5
156,4
157,5
158,0
159,3
160,4
161,3
162,3
163,3
164,6
165,6
166,4
167,6
168,5
169,2
170,0
171,4
172,5
173,6
174,4
175,6
176,4
177,2
178,4
179,2
180,4
181,3
182,2
183,3
184,3
185,0
186,4
187,3
188,3
189,3
190,4
191,6
192,5
193,5
194,3
195,4
196,5
197,6
198,0
199,0
200,6
201,6
202,3
203,3
204,0
205,2
206,4
207,4
208,2
209,2
210,6
211,2
212,2
213,4
214,4
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,6
224,0
225,3
226,5
227,0
228,0
229,3
230,3
231,4
232,5
233,6
234,3
235,3
236,3
237,4
238,2
239,6
240,3
241,4
242,6
243,2
244,1
245,3
246,3
247,6
248,1
249,0
250,4
251,2
252,6
253,3
254,0
255,6
256,6
257,4
258,2
259,6
260,4
261,0
262,2
263,6
264,2
265,0
266,2
267,3
268,3
269,4
270,0
271,6
272,5
273,3
274,2
275,3
276,2
277,5
278,0
279,2
280,3
281,5
282,6
283,2
284,2
285,4
286,4
287,0
288,3
289,6
290,5
291,3
292,6
293,0
294,3
295,4
296,4
297,1
298,4
299,0
300,2
301,4
302,2
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,0
312,4
313,0
314,2
315,2
316,4
317,2
318,4
319,3
320,4
321,5
322,3
323,0
324,4
325,4
326,2
327,3
328,3
329,4
330,3
331,3
332,0
333,3
334,2
335,3
336,0
337,4
338,0
339,4
340,4
341,5
342,3
343,4
344,2
345,6
346,3
347,3
348,4
349,6
350,4
351,4
352,6
353,3
354,6
355,4
356,3
357,4
358,3
359,3
360,3
361,2
362,3
363,4
364,5
365,3
366,3
367,3
368,2
369,2
370,4
371,6
372,4
373,1
374,4
375,2
376,1
377,5
378,4
379,4
380,2
381,5
382,3
383,4
384,4
385,6
386,3
387,5
388,6
389,2
390,6
391,6
392,3
393,2
394,4
395,5
396,4
397,2
398,4
399,0
400,4
401,2
402,3
403,3
404,2
405,6
406,5
407,5
408,2
409,5
410,0
411,5
412,0
413,3
414,0
415,6
416,0
417,4
418,5
419,4
420,0
421,3
422,2
423,2
424,0
425,5
426,4
427,3
428,3
429,2
430,4
431,4
432,2
433,6
434,6
435,0
436,6
437,2
438,3
439,4
440,4
441,0
442,6
443,4
444,6
445,4
446,0
447,3
448,2
449,1
450,4
451,3
452,4
453,4
454,4
455,5
456,0
457,4
458,0
459,6
460,5
461,5
462,2
463,3
464,6
465,4
466,2
467,3
468,3
469,2
470,3
471,2
472,4
473,4
474,6
475,1
476,3
477,6
478,4
479,4
480,0
481,6
482,6
483,4
484,4
485,4
486,4
487,5
488,3
489,6
490,2
491,4
492,3
493,0
494,1
495,4
496,2
497,6
498,4
499,2
500,6
501,0
502,3
503,5
504,6
505,3
506,3
507,4
508,4
509,4
510,2
511,3
512,0
513,2
514,2
515,3
516,5
517,4
518,4
519,0
520,3
521,6
522,0
523,6
524,3
525,6
526,3
527,6
528,0
529,3
530,0
531,3
532,5
533,5
534,0
535,6
536,4
537,6
538,5
539,4
540,4
541,6
542,6
543,6
544,0
545,0
546,4
547,4
548,3
549,3
550,4
551,4
552,4
553,4
554,0
555,4
556,2
557,4
558,6
559,4
560,1
561,4
562,5
563,0
564,2
565,5
566,4
567,2
568,4
569,4
570,6
571,3
572,4
573,4
574,5
575,2
576,4
577,3
578,4
579,0
580,4
581,3
582,2
583,5
584,5
585,6
586,4
587,5
588,4
589,2
590,2
591,3
592,6
593,4
594,3
595,3
596,2
597,0
598,4
599,6
600,4
601,0
602,6
603,0
604,3
605,4
606,0
607,4
608,4
609,4
610,0
611,5
612,4
613,4
614,2
615,4
616,0
617,4
618,4
619,2
620,6
621,3
622,4
623,3
624,3
625,3
626,4
627,6
628,0
629,3
630,2
631,3
632,0
633,4
634,2
635,0
636,2
637,2
638,0
639,4
640,5
641,4
642,3
643,3
644,3
645,4
646,4
647,6
648,5
649,3
650,2
651,4
652,4
653,3
654,4
655,6
656,3
657,2
658,6
659,5
660,4
661,3
662,3
663,3
664,3
665,5
666,0
667,4
668,2
669,0
670,4
671,4
672,3
673,0
674,4
675,6
676,0
677,4
678,4
679,6
680,0
681,1
682,6
683,3
684,4
685,6
686,6
687,3
688,6
689,3
690,3
691,5
692,4
693,0
694,4
695,4
696,2
